n_hidden,dim_hidden,bayesian_roc_auc_train,bayesian_roc_auc_test,classic_0_roc_auc_train,classic_0_roc_auc_test,classic_0.0001_roc_auc_train,classic_0.0001_roc_auc_test,classic_0.001_roc_auc_train,classic_0.001_roc_auc_test,classic_0.01_roc_auc_train,classic_0.01_roc_auc_test,classic_0.1_roc_auc_train,classic_0.1_roc_auc_test
1,1,0.907347433420644,0.899565843184446,0.9092052552356796,0.8938675349802978,0.9091859955198938,0.8940916920318067,0.9092526637668449,0.8930652886906869,0.9085889443305323,0.8924754017130319,0.9088496912519407,0.8916495599443147
1,2,0.9067718642219668,0.8993298883933839,0.9486269304161286,0.9226776149689718,0.9483395161959395,0.9241287369340034,0.9466328090739928,0.9236450296123262,0.9280960733884064,0.9065619027394352,0.9105534353406896,0.8969821382223165
1,3,0.9416963957664182,0.9312191784054175,0.9571812072582462,0.9251669380146763,0.9581708603463194,0.9122602109435832,0.9512618076872934,0.9097708878978787,0.9426712336885021,0.9164955994431466,0.9106882533511905,0.8967697789103607
1,4,0.9383170564043,0.9350770392392816,0.9594138527728066,0.9112338076024633,0.9604627665248361,0.9213798636181308,0.9556433930285754,0.9107383025412331,0.9463942849015681,0.9141832424907388,0.9105934362888602,0.8972180930133786
1,5,0.9419393644886396,0.9314079422382671,0.9536151968046651,0.8738939619168967,0.9608198120251739,0.897855170949246,0.9612538963886551,0.9047922418064698,0.9484002583764949,0.9158821169863854,0.9106408448200254,0.8975720251999717
1,6,0.9421067758643168,0.9311247964889928,0.9735578917426191,0.8071777447441071,0.9629798632263876,0.8701776739576697,0.959116067936425,0.8427125362780492,0.9492476858710724,0.9176517779193506,0.9106719566686026,0.8970765201387413
1,7,0.9375540753558603,0.9336259172742501,0.966440686001446,0.8652934097826858,0.9644510092091072,0.8595361128807721,0.9735978926907898,0.876831599065619,0.9521573844713358,0.9183596422925367,0.9106571415026135,0.897029329180529
1,8,0.9438964479158023,0.9322101885278781,0.9782617069441646,0.844564781387886,0.9769209344221492,0.8523630872324862,0.9722719353347634,0.8695641915009085,0.9539870574709919,0.9180057101059437,0.9106941794175862,0.8970765201387415
1,9,0.9073674338947294,0.8994124725702556,0.9883967619973214,0.8528939855123758,0.993875410380098,0.8516316273801939,0.9855870657674848,0.8735518274698569,0.9570286110485581,0.9143484108444823,0.9107504770483448,0.8973360704089096
1,10,0.9201581074514358,0.9063259479483732,0.9927657544475129,0.809383922040537,0.993756889052185,0.8011962907906846,0.988063420762566,0.8318822113683019,0.963134681710974,0.9130034685354285,0.9106823272847949,0.8969821382223166
1,11,0.9478150593199246,0.9356315329982776,0.9999933331753049,0.7924187725631768,0.9999548137437332,0.8115783015974138,0.9906279259952828,0.8371675986880914,0.9597101560925887,0.9144191972818008,0.910631955720432,0.8972180930133785
1,12,0.9460105721024498,0.9313371558009484,0.999998518483401,0.8342417592789222,0.9999896293838076,0.8373445647813879,0.9962710227205386,0.8479271371605202,0.9618376139286264,0.9113281895188882,0.9107401064321525,0.8971709020551663
1,13,0.9284116364239745,0.9075057219036833,1.0,0.7720558740945234,1.0,0.7947665227342441,0.9966132530548872,0.8456855666454307,0.9631502376352624,0.917227059295439,0.9106082514548492,0.8970765201387413
1,14,0.9499825181041327,0.9359854651848707,0.9999955554502032,0.8355631061088696,0.9999933331753049,0.8233170524527502,0.9988651582852335,0.8289091810009203,0.9663058679909449,0.9139944786578892,0.9106838088013938,0.8972180930133786
1,15,0.9471676365662001,0.9350180505415162,1.0,0.8272456997239329,1.0,0.848847360845662,0.9996355469166677,0.8611052122413347,0.9663888329204839,0.9152214435714118,0.9106793642515971,0.8969349472641042
1,16,0.9462224289760942,0.9306292914277624,1.0,0.838748495788207,1.0,0.8551709492461245,0.9995703601863155,0.8612585828555249,0.9642198926196768,0.9130978504518534,0.9107845519301198,0.8976428116372903
1,17,0.9480032119279865,0.9368584979118,1.0,0.8055732521648852,1.0,0.8616125150421179,0.9994148009434298,0.8636063330265921,0.9657680774655398,0.9141832424907388,0.9107489955317459,0.8974776432835468
1,18,0.9466446612067843,0.9341450178145868,1.0,0.8077322385031027,1.0,0.8464052287581698,0.9999837033174119,0.8780939571978008,0.9684333258269825,0.9100068426889408,0.9107497362900454,0.8966518015148297
1,19,0.9437601483887026,0.9286708666619475,1.0,0.8057266227790756,1.0,0.8344069276326656,0.999998518483401,0.8467237677261036,0.9667755087528002,0.9111394256860386,0.9106260296540363,0.8967461834312546
1,20,0.9482921076647742,0.9333427715249758,1.0,0.8260777235081759,1.0,0.8386659116113352,0.9999718511846207,0.8509709539652204,0.968073317293447,0.912814704702579,0.9105860287058656,0.8971001156178476
1,21,0.9458698280255531,0.931620301550223,1.0,0.820285033387603,1.0,0.8341355796229442,0.9999822218008131,0.8595715060994313,0.9688200016592985,0.9068214530096034,0.9107119576167731,0.8972180930133786
1,22,0.9459098289737239,0.9357023194355962,1.0,0.8175361600717302,1.0,0.8363417569193742,0.999965925118225,0.851867582171256,0.9697192822348382,0.9164248130058281,0.9107045500337785,0.8971709020551663
1,23,0.9464535455655246,0.9342865906892239,1.0,0.8266322172671715,1.0,0.8542507255609825,0.9999881478672087,0.8754866567565655,0.9700615125691868,0.9091102144829051,0.9106645490856079,0.8969821382223166
1,24,0.947250601495739,0.9316910879875415,1.0,0.8097024610084709,1.0,0.8427833227153678,0.9999940739336044,0.828295698544159,0.9699755846064502,0.9144899837191194,0.9107075130669765,0.8975248342417592
1,25,0.951899600583125,0.9380854628253227,1.0,0.8389136641419503,1.0,0.8684198107642576,1.0,0.8474434298388428,0.9699163239424935,0.9161652627356598,0.9107564031147405,0.897029329180529
1,26,0.9508862432294694,0.9371888346192869,1.0,0.845142870625988,1.0,0.8603855501285953,1.0,0.8779051933649513,0.971288208313086,0.9134517826384465,0.9106304742038329,0.8970529246596353
1,27,0.9477454280397758,0.9362686109341449,1.0,0.830973785422713,1.0,0.8497321913121446,1.0,0.8642080177438003,0.9705222642314485,0.9143012198862698,0.9107549215981415,0.8975720251999717
1,28,0.9469394830099677,0.9319506382577097,1.0,0.8481748896911353,1.0,0.8529765696892475,0.9999970369668022,0.872301267077228,0.9687888898107214,0.9113989759562068,0.9107934410297133,0.8976192161581841
1,29,0.9485247057708034,0.9302045728038508,1.0,0.8325900757414879,1.0,0.8533069063967345,1.0,0.8616950992189896,0.9713785808256196,0.9144899837191194,0.910630474203833,0.896934947264104
1,30,0.951409218588885,0.9385809678865529,1.0,0.8397631013897737,1.0,0.8486703947523654,1.0,0.866614756612633,0.9710896850888318,0.9085911139425688,0.9106497339196188,0.897052924659635
1,31,0.9500684460668697,0.937755126117836,1.0,0.830053561737571,1.0,0.8577310587291476,1.0,0.866496779217102,0.9702822585424248,0.9129090866190038,0.910645289369822,0.8971001156178476
1,32,0.9500817797162602,0.934876477666879,1.0,0.8007715721667729,1.0,0.8319294023265142,1.0,0.8602439772539582,0.9733489979021724,0.9099596517307283,0.91066158605241,0.8970293291805291
1,33,0.946616512391405,0.9312663693636299,1.0,0.8177131261650268,1.0,0.848033316816498,1.0,0.864868691158774,0.972383049079682,0.9111158302069324,0.9106882533511905,0.8972888794506972
1,34,0.948432851741671,0.9340978268563742,1.0,0.8472546660059933,1.0,0.8643613883579906,1.0,0.8777754182298672,0.9729030614059,0.9149854887803497,0.9108438125940764,0.8972652839715911
1,35,0.9492950944022377,0.9371652391401807,1.0,0.8328850192303155,1.0,0.8607276845756352,1.0,0.8676765531724121,0.9730660282317801,0.9193034614567849,0.9107001054839818,0.897265283971591
1,36,0.9545529968117762,0.942309053585333,1.0,0.8255232297491801,1.0,0.853625445364668,1.0,0.8728675585757769,0.9721830443388289,0.9144663882400133,0.9107519585649437,0.8971237110969538
1,37,0.9479661740130136,0.9331540076921262,1.0,0.8336046813430548,1.0,0.8669922842783323,1.0,0.8752978929237161,0.9729356547710761,0.9136641419504022,0.9107549215981415,0.8974304523253345
1,38,0.9474831996017683,0.9375427668058799,1.0,0.8389608551001628,1.0,0.8575069016776385,1.0,0.8760293527760081,0.9745890272954618,0.9160000943819164,0.9106956609341852,0.8974186545857814
1,39,0.9496195465373994,0.9321865930487717,1.0,0.8401642245345792,1.0,0.8641844222646942,1.0,0.8680068898798989,0.9735341874770365,0.9120124584129682,0.9106704751520035,0.8969585427432103
1,40,0.9507306839865834,0.936032656143083,1.0,0.844906915834926,1.0,0.8758995776409241,1.0,0.8812911446166913,0.9743697628388227,0.9121540312876054,0.9106512154362177,0.8972180930133787
1,41,0.9482372915506145,0.9319506382577099,1.0,0.8469007338194002,1.0,0.8656355442297256,1.0,0.8727259857011396,0.9743534661562347,0.9113517849979945,0.9107030685171797,0.8968877563058918
1,42,0.949407689663755,0.9394304051343761,1.0,0.8265968240485124,1.0,0.8604209433472546,1.0,0.867770935088837,0.9738630841619949,0.9126731318279417,0.9106423263366242,0.8973832613671222
1,43,0.95136181005772,0.9392180458224204,1.0,0.8465585993723602,1.0,0.8628394799556405,1.0,0.865104645949836,0.9746260652104347,0.9155045893206862,0.9107001054839818,0.8972416884924849
1,44,0.9511381010512842,0.9323753568816215,1.0,0.8345249050281965,1.0,0.8589226304240107,1.0,0.8694934050635899,0.9759149846514881,0.9138293103041457,0.9106319557204318,0.8970529246596352
1,45,0.9476032024462803,0.9380382718671103,1.0,0.8609518416271442,1.0,0.8761355324319862,1.0,0.8810551898256294,0.9753312671115167,0.9140416696161016,0.9107075130669765,0.8972652839715909
1,46,0.9514269967880719,0.9392180458224205,1.0,0.8318114249309833,1.0,0.8562563412850098,1.0,0.8657889148439158,0.975412750524457,0.9131214459309597,0.9106867718345917,0.8970057337014228
1,47,0.9526092470340037,0.9394540006134825,1.0,0.8485406196172813,1.0,0.8602439772539582,1.0,0.8786956419150092,0.9752023751674114,0.9111630211651448,0.9107445509819493,0.8967225879521482
1,48,0.9524833181230963,0.9370236662655436,1.0,0.8481276987329228,1.0,0.8712394705174488,1.0,0.8709563247681744,0.9752334870159884,0.9106439206248083,0.9107193651997677,0.8971709020551663
1,49,0.9499143683405828,0.9395483825299074,1.0,0.8427243340176023,1.0,0.8574951039380854,1.0,0.8806186734621646,0.9749905182937669,0.9144899837191193,0.9106882533511905,0.8969585427432104
1,50,0.9483247010299505,0.941837144003209,1.0,0.8405417522002785,1.0,0.8657417238857034,1.0,0.8761709256506454,0.9757520178256076,0.9125551544324108,0.9106156590378437,0.8968877563058918
1,51,0.9513277351759449,0.9394540006134824,1.0,0.8599136405464713,1.0,0.8630636370071495,1.0,0.87881361931054,0.9764201818117171,0.9151506571340932,0.9107326988491579,0.8973124749298034
1,52,0.9498521446434287,0.9378731035133667,1.0,0.8503102805502465,1.0,0.8788372147896463,1.0,0.8747316014251669,0.9759001694854988,0.9092753828366485,0.9107860334467187,0.8973124749298035
1,53,0.9498343664442416,0.9394304051343763,1.0,0.8506524149972866,1.0,0.8646445341072649,1.0,0.8737877822609187,0.9762661040854301,0.9131214459309597,0.9107104761001743,0.8971709020551663
1,54,0.9481528451044766,0.9399495056747127,1.0,0.8400462471390482,1.0,0.8469007338194001,1.0,0.8784832826030533,0.9769490832375285,0.9117293126636936,0.9106341779953302,0.8974304523253345
1,55,0.9508551313808922,0.9377079351596235,1.0,0.8420046719048631,1.0,0.8748849720393572,1.0,0.8803237299733371,0.9761535088239128,0.9135933555130837,0.910700105483982,0.8972180930133786
1,56,0.9565026726559445,0.9409405157971733,1.0,0.8488001698874496,1.0,0.8681956537127486,1.0,0.8783181142493098,0.9762749931850236,0.9120124584129681,0.9107104761001744,0.8970057337014228
1,57,0.9488491579059651,0.9368113069535876,1.0,0.8496496071352729,1.0,0.8682192491918548,1.0,0.884382152379604,0.9767624121460657,0.9107383025412331,0.9107341803657567,0.8971709020551663
1,58,0.9448653597714909,0.933484344399613,1.0,0.8448597248767136,1.0,0.8708737405913027,1.0,0.8869540596021802,0.9763179571663921,0.9133338052429154,0.9107045500337786,0.8969821382223166
1,59,0.9463853958019746,0.93754276680588,1.0,0.8536136476251152,1.0,0.870802954153984,1.0,0.8814563129704348,0.9765994453201854,0.9132158278473844,0.9107682552475319,0.8972180930133786
1,60,0.9499602953551491,0.9334371534414007,1.0,0.8451192751468819,1.0,0.8753922748401406,1.0,0.8890776527217386,0.9770201960342764,0.9130034685354286,0.9106571415026135,0.8970529246596353
1,61,0.9491691654913301,0.9367641159953753,1.0,0.8271867110261674,1.0,0.8649984662938581,1.0,0.8742360963639366,0.9767416709136809,0.9132630188055969,0.910799367096109,0.8974304523253345
1,62,0.9486239673829306,0.9395247870508011,1.0,0.8506878082159458,1.0,0.8738821641773438,1.0,0.8783889006866284,0.9764112927121235,0.9126259408697294,0.9107178836831686,0.8975248342417593
1,63,0.9534774157609662,0.938132653783535,1.0,0.8411434369174866,1.0,0.867546778037328,1.0,0.8900922583233053,0.9768468585922037,0.9125079634741984,0.9107445509819492,0.8973596658880159
1,64,0.9471039313524467,0.9308416507397184,1.0,0.837474339916472,1.0,0.8810905830442888,1.0,0.881125976262948,0.9766616690173398,0.9137821193459332,0.9106926979009872,0.8976428116372903
